listing_id,url,property_type,price_azn,area_m2,rooms,floor,total_floors,building_type,renovation,has_kupca,has_mortgage,city,district,settlement,metro_station,landmark,latitude,longitude,seller_type,description
6364421,https://bina.az/items/6364421,menziller/yeni-tikili,325000.00,134.00,3,3,16,yeni tikili,temirli,t,t,Bakı,Xətai,,Həzi Aslanov,Ukrayna dairəsi,,,agent,"HƏZİ ASLANOV METROSU YAXINLIĞINDA – FLAMİNGO MTK-DA İPOTEKAYA YARARLI GENİŞ QANUNİ 3 OTAQLI MƏNZİL!
📍 Ünvan: ""Flamingo"" MTK (Həzi Aslanov metrosuna piyada cəmi 2 dəqiqəlik məsafədə)
🏢 Bina: 16 mərtəbəli bina, 3-cü mərtəbə (İdeal orta mərtəbə!)
📐 Sahə: 134 kv.m (Çıxarışda 127 kv.m)
🔑 Otaq Sayı: Qanuni 3 otaqlı
🔹 Mənzilin və Binanın Üstünlükləri:
•	Təmir və Əşya: Tam və əla təmirli, qismən əşyalı satılır – keyfiyyətli materiallarla təmir olunub, giriş-yaşayış üçün hazırdır
•	Planlaşdırma: 134 kv.m çox geniş və fərah sahədə ideal paylanmış qanuni 3 otaq
•	Sənəd: Çıxarış (Kupça) var – İpotekaya tam yararlıdır!
•	İnfrastruktur: Metronun addımlığında yerləşir; ətrafında məktəblər, bağçalar, superstore-lar və bütün iaşə obyektləri mövcuddur
"
6035896,https://bina.az/items/6035896,menziller/yeni-tikili,265000.00,100.00,3,15,19,yeni tikili,temirli,t,t,Bakı,Nəsimi,,8 Noyabr,Bakı Asiya Universiteti,,,agent,Ela təmirli3 otaga düzelme  kupcali ipotekaya yararli   eşyali menzil tecili satilir  Azərrost Mtk Bolmartin yanında 8 Noyabr metrosuna 3 dəq məsafədə Yaxinliqinda bütün iaşə obyektləri var Ofis haqqi 1%
6364427,https://bina.az/items/6364427,menziller/yeni-tikili,195000.00,77.00,2,5,24,yeni tikili,temirli,f,f,Bakı,Yasamal,,İnşaatçılar,Melissa Park,,,agent,"🏙️ ŞƏHƏRİN MƏRKƏZİNDƏ — ZƏRDABİ RESİDENCE!

📍 Tusi Klinikasının yanında, 20 Yanvar metrosuna 5 dəqiqəlik məsafədə

🏡 2 otaqlı mənzil
🏢 24/5 mərtəbə
📐 71 KV.M
✨ Super təmirli
🍽️ Studio tipli mətbəx
🚫 Əşyasız satılır
🔥 Qaz verilib

🏢 Kompleksin üstünlükləri:
🛝 Uşaq meydançası
🚗 4 mərtəbəli yeraltı parking
🛡️ 24 saat mühafizə

📄 Sənəd: Müqavilə
🏦 İpoteka mümkündür. Avqust ayının sonuna kupça veriləcək. Kupça üçün sənədlər artıq təqdim olunub.

⚠️ Qeyd: Ayrı mətbəx istəyənlər, zəhmət olmasa, narahat etməsin. Mənzil studio mətbəx planındadır.

🛋️ Əşyalı almaq istəyənlərlə ayrıca razılaşmaq mümkündür.

💼 Xidmət haqqı: 1%"
6110395,https://bina.az/items/6110395,menziller/kohne-tikili,239000.00,85.00,3,4,9,kohne tikili,temirli,t,t,Bakı,Sabunçu,Bakıxanov,,,,,agent,"📍 Bakıxanov qəsəbəsi, Bakıxanov Ticarət Mərkəzinin yaxınlığı, Neftçilər metrosuna 5 dəq məsafə — əlverişli ərazidə təmirli və əşyalı 1 otaqlı mənzil satışdadır!

🏢 Layihə: Leninqrad
🏙 Mərtəbə: 9 mərtəbəli binanın 4-cü mərtəbəsi
📐 Sahə: - 85 kv/m
🛏 Otaq: 3 otaqlı 
📄 Sənəd: Çıxarış (Kupça)
🏦 İpotekaya yararlıdır
💸 Qiymət: 239.000 AZN

✅ Sakit və geniş məhəllə
✅ Qaz, su, işıq daimidir
✅ Yaxınlıqda məktəb, market, dayanacaq

📞 Əlaqə saxlayıb ətraflı məlumat və baxış təyin edə bilərsiniz.
💼 Ofis haqqı 1%"
6364432,https://bina.az/items/6364432,menziller/kohne-tikili,93000.00,25.00,1,2,2,kohne tikili,temirli,t,f,Bakı,Nəsimi,,28 May,Azərbaycan Dillər Universiteti,,,agent,"Son Qiymət 
🏠 ŞƏHƏRİN MƏRKƏZİNDƏ 1 OTAQLI MƏNZİL SATILIR!
Söküntü binası deyil, paylı mənzillərdən deyil
Şəxsi mənzildir və sənədləri tam qaydasında
📍 Heydər Əliyev adına Sarayın yaxınlığı
🏢 2/2 mərtəbə
📐 25 m²
🛠 Orta təmirli
📑 Alqı-satqıya hazır

✨ Şəhərin mərkəzində yerləşməsi, həm yaşayış, həm də investisiya üçün əlverişli olması ilə seçilir.
📞 Ətraflı məlumat və mənzilə baxış üçün əlaqə saxlayın.
Qiymət aşağıdır. Yazılan qiymət əvvəlkidir."
6364428,https://bina.az/items/6364428,menziller/yeni-tikili,430000.00,147.00,3,10,16,yeni tikili,temirli,t,f,Bakı,Xətai,,Şah İsmayıl Xətai,,,,agent,"XƏTAİ METROSUNA 7 DƏQİQƏ PİYADA — QANUNİ 3 OTAQLI, 147 M² MƏNZİL

Xətai metrosuna cəmi 7 dəqiqəlik piyada məsafədə, əlverişli və prestijli ərazidə yerləşən qanuni 3 otaqlı, 147 m² təmirli mənzil satışa təqdim olunur.

🏠 Mənzil haqqında:

3 otaq
147 m²
16 mərtəbəli binanın 10-cu mərtəbəsi
Təmirli
Qanuni 3 otaq
Çıxarışlı (kupçalı)
İpotekaya yararlıdır
Geniş və rahat yaşayış sahəsi

🚇 Xətai metrosuna — 7 dəqiqə piyada

Mənzil həm yaşayış, həm də investisiya üçün ideal seçimdir. Sənədlərinin qaydasında olması və ipotekaya yararlı olması mənzilin əsas üstünlüklərindəndir.

💼 Xidmət haqqı: 1% — alıcı tərəfindən.

📞 Ətraflı məlumat və mənzilə baxış üçün əlaqə saxlaya bilərsiniz."
6073470,https://bina.az/items/6073470,menziller/kohne-tikili,230000.00,90.00,3,4,5,kohne tikili,temirli,t,t,Bakı,Sabunçu,Bakıxanov,,,,,agent,"🏡 Bakıxanov qəsəbəsində (Razin) yeni təmirdən çıxmış geniş mənzil satışda!

📍 Ünvan: Bakıxanov qəsəbəsi (Razin), Ramiz Qəmbərov küçəsi, ev 32

Sakit və abad məhəllədə yerləşən, ailə həyatı üçün ideal Leninqrad layihəli 3 otaqlı mənzil satışa təqdim olunur.

🏢 Mənzil haqqında ətraflı məlumat:

Mərtəbə: 5/4-cü mərtəbə
Layihə: Leninqrad
Otaq sayı: 3 (geniş və işıqlı otaqlar)
Ümumi sahə: 90 m²
Yeni və keyfiyyətli təmir olunub
⚡ Təmirdən sonra mənzildə yaşayış olmayıb
Rahat və funksional planlaşdırma

🌳 Bina və ərazi üstünlükləri:

Abadlaşdırılmış və sakit məhəllə
Ailə üçün təhlükəsiz və rahat mühit
Yaşayış üçün əlverişli infrastruktur

📍 İnfrastruktur:

Yaxınlıqda məktəb və uşaq bağçaları
Marketlər, apteklər və digər iaşə obyektləri
Rahat nəqliyyat imkanları

✨ Üstünlük:
Yeni təmirdən sonra yaşayış olmadığı üçün mənzil tam təzə vəziyyətdədir və alıcı üçün “gir yaşa” formatında təqdim olunur.

"
6198663,https://bina.az/items/6198663,menziller/kohne-tikili,200000.00,80.00,3,7,9,kohne tikili,temirli,t,t,Bakı,Xətai,Əhmədli,Əhmədli,,,,agent,"Əhmədli Qaçaq Nəbi küçəsində 9 mərtəbəli binanın 7 ci mərtəbəsində qanuni 3 otaqlı mənzil 200 000 manata satışda 
Sənəd Kupça 
Dövlət İpotekasına yararlı 
Firma haqqı 1 faiz"
6364441,https://bina.az/items/6364441,menziller/yeni-tikili,94500.00,45.00,2,12,13,yeni tikili,temirli,t,f,Xırdalan,,,,,,,agent,"Bütün əşyalar mənzildə qalacaq 
Bu qiymətə belə ev yoxdu 📣Ünvan:  KRİSTAL ABŞERON 1 park Xırdalan lahiyəsi 
  yatırım üçün əla variantdı hər il bu binada evlərin 10.000 manat  qiyməti qalxır azı 


1 ədəd GENİŞ  eyvanı var
📣Bina: Yeni tikili 
📣Sənəd: KUPÇA ƏLDƏ  
📣Mərtəbə: 13/12 ci mərtəbəsi
📣Otaq sayı: 2  otaq düzəlmə
📣Sahə: 45  kv
📣Vəziyyəti: təmirli
📣Qiymət: 94.500 
ℹ️Əlavə məlumat:Binanın geniş yeraltı dayanacağı .2 ədəd Siqma lifti , Gözəl fasadı , 24 saat mühafizəsi var"
6364445,https://bina.az/items/6364445,menziller/yeni-tikili,438000.00,86.00,2,7,17,yeni tikili,temirli,t,t,Bakı,Yasamal,,Elmlər Akademiyası,Merida Premium,,,agent,"Şəhərin mərkəzi
Renessans Palace
Qanuni 2 otaqlı, tam əşyalı mənzil.
Kupçalı və ipotekaya yararlıdır.
Orta mərtəbə.
Fikri ciddi olan real alıcılar əlaqə saxlaya bilər.
"
6364444,https://bina.az/items/6364444,menziller/yeni-tikili,330000.00,110.00,3,3,7,yeni tikili,temirli,f,f,Bakı,Nizami,,Qara Qarayev,,,,agent,"Qara Qarayev metrosunun çıxışına cəmi 2 dəqiqəlik məsafədə, yeni tikili binada yerləşən 110 kv.m sahəli qanuni 3 otaqlı mənzil satışdadır. Mənzil yeni təmir olunub, təmirdən sonra yaşayış olmayıb — ilk sahibi siz olun! Əlverişli yerləşməsi, geniş sahəsi və yeni təmiri ilə həm rahat yaşayış, həm də yatırım üçün ideal seçimdir. Real alıcı ilə yerində qiymət razılaşması mümkündür. Tələsin, belə mənzillər uzun müddət satışda qalmır! Ofis xidmət haqqı 1% təşkil edir və alıcı tərəfindən ödənilir."
6364443,https://bina.az/items/6364443,menziller/yeni-tikili,310000.00,80.00,3,8,16,yeni tikili,temirli,f,f,Bakı,Nərimanov,,28 May,Şərq bazarı,,,agent,"Nərimanov rayonu Mammadov Firdovsi küçəsində Yaşıl Bazarın arxasında yerləşən Triumf Palace yaşayış kompleksində mənzil satılır.28 May metrosuna piyada 10 dəqiqəlik məsafədədir.

Mənzilin təsviri:
• Təmirli
• 80 m²
• 8\16
• 3 otaq studio 
• 1 Eyvan
• Böyük vitraj pəncərələr

Binanın üstünlükləri:
• Ekoloji təmiz rayon
• Yeraltı qaraj
• Qapalı həyət
• 24 saat təhlükəsizlik xidməti
• Kodlaşdırılmış giriş-çıxış
• Kamera nəzarəti
• Yanğın təhlükəsizlik sistemi
• Müasir tələblərə uyğun geniş liftlər
• Daimi qaz, işıq və su
• Kabel Tv

190049"
5727891,https://bina.az/items/5727891,menziller/kohne-tikili,240000.00,100.00,4,5,9,kohne tikili,temirli,t,t,Bakı,Yasamal,Yeni Yasamal,İnşaatçılar,,,,agent,"Yeni Yasamalda telestudiyanın binası kimi tanınan bina. Ətrafında dayanacaqlar, məktəb, uşaq bağçası, supermarketlər var. Metroya yaxındır. Orta blokdur. Leninqrad layihəli 9 mərtəbəli binanın 5-ci mərtəbəsi. Təmirlidir. Blokda ehtiyat su çəni var. Balkonlar otaqlara qatılıb. Yalnız bir balkon açıq qalıb. Otaqlarda artırmaları var. Gündüşən və yelçəkən mənzildir. İşıq,su, qaz daimidir. Qeydiyyatda heç kim yoxdur. Kupçası var İpatekiya Yararli Ofis Haqqi 1%"
6364459,https://bina.az/items/6364459,menziller/yeni-tikili,399000.00,112.00,3,11,16,yeni tikili,temirli,f,f,Bakı,Nərimanov,,28 May,Şərq bazarı,,,agent,"✨ **EKSKLÜZİV TƏKLİF – ""Triumph Palace"" Yaşayış Kompleksi!** 🏙️

📍 **28 May metrosu** və **Yaşıl Bazar** yaxınlığında, şəhərin ən prestijli yaşayış komplekslərindən biri olan **Triumph Palace**-da ** 3 otaqlı, tam təmirli mənzil** satışa təqdim olunur!
Mənzilin baxışı Tıbriz küçəsinədir.

🏢 Kompleks **8 binadan** ibarətdir və təqdim olunan mənzil **VIP korpusda** yerləşir.

🌊 Mənzilin üstünlükləri:
✅ Bütün otaqlarda geniş **vitrin pəncərələr**
✅ İşıqlı, funksional və rahat planlama
✅ Prestijli yaşayış mühiti və yüksək komfort

🌟 Həm yaşamaq, həm də gələcək investisiya üçün ideal seçim!

📞 Ətraflı məlumat almaq və mənzilə baxış keçirmək üçün bizimlə əlaqə saxlayın.

💼 **Xidmət haqqı alıcı tərəfdən mənzilin satış dəyərinin 1%-ni təşkil edir.**"
6364460,https://bina.az/items/6364460,menziller/yeni-tikili,318000.00,106.00,3,3,9,yeni tikili,temirsiz,f,f,Bakı,Nərimanov,,,Şərq bazarı,,,agent,"🏡 ŞƏRQ BAZARININ ARXASINDA GENİŞ 3 OTAQLI STUDİO MƏNZİL SATILIR! ✨

📍 Nərimanov rayonu
📍 Tələt Şıxəliyev küçəsi
📍 Çapayev, Şərq Bazarının arxası
🏢 East Residence

🏢 Mərtəbə: 3 / 9
📐 Sahə: 106 m²
🛏️ 3 otaqlı studio
📄 Sənəd: Müqavilə
🎨 Təmir: Təmirsiz

✨ Mənzil haqqında:
✔️ Künc mənzil
✔️ Geniş və funksional planlaşdırma
✔️ Zövqünüzə uyğun təmir etmək imkanı
✔️ Həm yaşayış, həm də investisiya üçün əlverişli seçim

🌇 Mənzərə:
🏙️ Küçə və 177 saylı məktəb istiqamətinə baxış.

📍 Yerləşmə üstünlükləri:
🛍️ Şərq Bazarının arxasında
🏫 177 saylı məktəbin yaxınlığında
🍽️ Market, restoran və digər gündəlik infrastruktur obyektləri yaxınlıqdadır.

🏦 İpotekanın yaradılmasına köməklik göstərilir.
📞 Ətraflı məlumat və mənzilə baxış üçün əlaqə saxlayın."
